"Timestamp","Temperature_Celsius","Relative_Humidity"
"2021-01-09 12:22:54","13.4","55"
"2021-01-09 12:24:58","15.8","46"
"2021-01-09 12:26:58","17.3","45"
"2021-01-09 12:29:01","19.0","42"
"2021-01-09 12:31:16","20.1","39"
"2021-01-09 12:33:19","20.7","38"
"2021-01-09 12:34:28","21.1","38"
"2021-01-09 12:37:20","21.7","36"
"2021-01-09 12:41:24","21.9","35"
"2021-01-09 12:59:26","22.4","34"
"2021-01-09 13:29:30","22.3","33"
"2021-01-09 13:59:34","22.8","32"
"2021-01-09 14:19:38","23.1","31"
"2021-01-09 14:49:43","23.3","30"
"2021-01-09 15:19:47","23.3","30"
"2021-01-09 15:49:52","23.6","29"
"2021-01-09 16:19:59","23.7","29"
"2021-01-09 16:50:02","23.7","28"
"2021-01-09 17:20:09","23.6","27"
"2021-01-09 17:50:14","23.4","26"
"2021-01-09 18:20:18","23.4","26"
"2021-01-09 18:50:23","23.3","25"
"2021-01-09 19:20:26","23.4","26"
"2021-01-09 19:50:29","23.3","25"
"2021-01-09 20:20:34","22.9","23"
"2021-01-09 20:50:40","22.8","23"
"2021-01-09 21:20:43","22.9","25"
"2021-01-09 21:50:51","22.8","25"
"2021-01-09 22:20:55","22.8","25"
"2021-01-09 22:51:00","22.9","25"
"2021-01-09 23:21:03","22.8","25"
"2021-01-09 23:49:13","22.9","24"
"2021-01-10 00:19:13","23.0","24"
"2021-01-10 00:49:16","22.7","24"
"2021-01-10 00:57:18","22.2","25"
"2021-01-10 01:11:21","21.7","25"
"2021-01-10 01:25:25","21.3","25"
"2021-01-10 01:47:26","20.8","26"
"2021-01-10 02:17:31","20.3","26"
"2021-01-10 02:47:35","20.0","26"
"2021-01-10 03:17:41","19.8","26"
"2021-01-10 03:47:51","19.7","26"
"2021-01-10 04:18:02","19.5","26"
"2021-01-10 04:48:06","19.5","26"
"2021-01-10 05:18:09","19.4","26"
"2021-01-10 05:48:12","19.3","26"
"2021-01-10 06:18:15","19.3","25"
"2021-01-10 06:48:20","19.3","24"
"2021-01-10 07:18:25","19.3","24"
"2021-01-10 07:48:29","19.6","27"
"2021-01-10 08:18:34","19.8","26"
"2021-01-10 08:48:37","19.9","25"
"2021-01-10 09:04:43","20.5","27"
